,x,y,type
601,112.25289,24.864264,disadvantaged user
602,-23.826904,-23.952868,disadvantaged user
603,9.207373,73.749664,disadvantaged user
604,-7.7346754,16.55051,disadvantaged user
605,-7.7382975,-4.301004,disadvantaged user
606,-62.578342,6.9935145,disadvantaged user
607,111.00777,19.817776,disadvantaged user
608,-5.230296,39.562366,disadvantaged user
609,-24.459803,63.917103,disadvantaged user
610,109.09854,14.541738,disadvantaged user
611,5.1346073,-9.256638,disadvantaged user
612,-3.340877,-17.185946,disadvantaged user
613,-5.066101,-56.241905,disadvantaged user
614,-40.612125,8.264437,disadvantaged user
615,-48.913296,-22.916084,disadvantaged user
616,-30.016973,66.594734,disadvantaged user
617,-0.6997541,-59.622673,disadvantaged user
618,-44.39988,-4.0949426,disadvantaged user
619,-26.704473,8.240488,disadvantaged user
620,-7.550279,69.91916,disadvantaged user
621,-52.706802,15.661804,disadvantaged user
622,-1.8623772,-35.335945,disadvantaged user
623,113.42631,20.851011,disadvantaged user
624,-38.66155,-73.930374,disadvantaged user
625,-29.419767,-95.70993,disadvantaged user
626,-20.534662,47.484505,disadvantaged user
627,-17.994513,92.63155,disadvantaged user
628,-15.079493,-53.227104,disadvantaged user
629,-6.5993547,44.189568,disadvantaged user
630,-26.869478,9.940586,disadvantaged user
631,95.845314,6.3987756,disadvantaged user
632,-30.09562,-96.991325,disadvantaged user
633,-15.079493,-53.227104,disadvantaged user
634,69.35341,-1.0929781,disadvantaged user
635,-41.854992,-31.365995,disadvantaged user
636,13.619145,50.881794,disadvantaged user
637,-17.80288,87.7685,disadvantaged user
638,2.6206775,26.613878,disadvantaged user
639,-48.67374,9.549511,disadvantaged user
640,111.10749,26.052671,disadvantaged user
641,7.686413,-3.4047809,disadvantaged user
642,-27.715464,61.305626,disadvantaged user
643,-13.162625,-98.21139,disadvantaged user
644,3.0650518,-35.93032,disadvantaged user
645,110.97106,15.233151,disadvantaged user
646,-29.044191,68.055305,disadvantaged user
647,-19.045868,31.408203,disadvantaged user
648,-51.92005,24.070293,disadvantaged user
649,-23.172775,76.06334,disadvantaged user
650,-41.013546,18.23205,disadvantaged user
651,0.23381704,-75.27545,disadvantaged user
652,6.0716786,29.22346,disadvantaged user
653,-42.917553,39.518547,disadvantaged user
654,52.675785,-22.297676,disadvantaged user
655,-44.342052,33.257076,disadvantaged user
656,-4.982366,-6.4511743,disadvantaged user
657,-25.587507,84.27764,disadvantaged user
658,-45.148323,41.340405,disadvantaged user
659,112.089,20.14293,disadvantaged user
660,15.92284,51.066917,disadvantaged user
661,89.82847,2.4434578,disadvantaged user
