,x,y,type
326,-29.347261,-46.473473,disadvantaged user
327,3.7660012,-83.48506,disadvantaged user
328,94.381546,20.68297,disadvantaged user
329,7.749091,43.57816,disadvantaged user
330,1.2554771,38.97847,disadvantaged user
331,-51.499348,-7.923893,disadvantaged user
332,-23.761509,2.3073053,disadvantaged user
333,30.3147,-51.400116,disadvantaged user
334,-38.487885,55.964485,disadvantaged user
335,92.66887,30.083614,disadvantaged user
336,95.14315,-0.3185421,disadvantaged user
337,85.70237,36.083626,disadvantaged user
338,83.553,38.88118,disadvantaged user
339,61.086926,-68.28787,disadvantaged user
340,-35.868103,17.65872,disadvantaged user
341,34.711098,-34.055477,disadvantaged user
342,-11.371737,-29.719028,disadvantaged user
343,-31.508453,-3.6733384,disadvantaged user
344,93.79191,20.804966,disadvantaged user
345,17.972174,21.473097,disadvantaged user
346,-26.511381,30.747658,disadvantaged user
347,96.141914,4.8664813,disadvantaged user
348,52.993828,-17.1946,disadvantaged user
349,12.232688,24.1153,disadvantaged user
350,48.70201,-21.02,disadvantaged user
351,24.200722,33.747208,disadvantaged user
352,8.315801,-19.46324,disadvantaged user
353,-41.36043,69.13755,disadvantaged user
354,93.62142,13.799643,disadvantaged user
355,88.20454,35.503746,disadvantaged user
356,91.53119,26.788439,disadvantaged user
357,-23.753628,-36.71652,disadvantaged user
358,98.708916,3.9472172,disadvantaged user
359,98.40255,20.309792,disadvantaged user
360,20.249659,-21.87453,disadvantaged user
361,-9.686046,35.272438,disadvantaged user
362,6.4135895,8.370551,disadvantaged user
363,14.201901,-12.390714,disadvantaged user
364,-14.847849,48.11263,disadvantaged user
365,94.6941,31.19301,disadvantaged user
366,-25.44759,6.001483,disadvantaged user
367,-5.699174,16.21932,disadvantaged user
368,9.480983,-12.253396,disadvantaged user
369,1.8110399,25.330305,disadvantaged user
370,-1.1212418,-19.037231,disadvantaged user
371,-32.192463,90.80541,disadvantaged user
372,101.023476,13.933833,disadvantaged user
373,9.617613,-25.411095,disadvantaged user
374,94.38796,17.916714,disadvantaged user
375,10.952388,-37.933434,disadvantaged user
376,-46.50618,15.357935,disadvantaged user
377,57.646442,-66.68252,disadvantaged user
378,17.84565,-30.32695,disadvantaged user
379,29.917696,18.79069,disadvantaged user
380,6.933028,2.7660952,disadvantaged user
381,89.28381,30.838099,disadvantaged user
382,-23.53987,12.878444,disadvantaged user
383,93.60469,18.668573,disadvantaged user
384,78.64055,0.25736085,disadvantaged user
385,-25.44759,6.001483,disadvantaged user
386,21.503735,23.043667,disadvantaged user
387,-33.794807,69.7838,disadvantaged user
388,17.972174,21.473097,disadvantaged user
389,-23.102976,50.963436,disadvantaged user
390,-30.579208,5.036824,disadvantaged user
391,89.57561,36.450306,disadvantaged user
392,-9.2772665,-44.161793,disadvantaged user
393,-34.16192,-20.531622,disadvantaged user
394,99.233116,21.883886,disadvantaged user
395,-23.761509,2.3073053,disadvantaged user
396,-27.139524,-58.711506,disadvantaged user
397,88.80207,32.13818,disadvantaged user
398,40.85749,-36.626846,disadvantaged user
399,-32.255074,64.07656,disadvantaged user
400,94.75338,19.099981,disadvantaged user
401,-31.709795,90.48477,disadvantaged user
402,100.17665,18.137695,disadvantaged user
403,13.382715,39.609386,disadvantaged user
404,-27.42167,-64.52762,disadvantaged user
405,-12.267075,-31.208628,disadvantaged user
406,-33.160213,-8.37209,disadvantaged user
407,-2.5551443,43.24312,disadvantaged user
408,88.93234,4.841905,disadvantaged user
409,50.286613,-20.052563,disadvantaged user
410,30.826727,10.980696,disadvantaged user
411,-30.867361,88.317085,disadvantaged user
412,97.384766,4.961867,disadvantaged user
413,-12.772966,55.21139,disadvantaged user
414,-31.933163,27.21351,disadvantaged user
415,87.59137,36.55719,disadvantaged user
416,0.6734016,-23.801893,disadvantaged user
417,77.77994,-13.485881,disadvantaged user
418,36.323906,-38.094612,disadvantaged user
419,68.6774,-15.109501,disadvantaged user
